userName,score,at,content
Husen Husen,5,2026-05-07 07:49:09,sangat bagus
Yanuar AL_El,5,2026-05-07 07:29:34,mudah vepat
leni suryantari,5,2026-05-07 07:29:33,sukak beli bensin ga pake antri😁🫶
Najwa Q,5,2026-05-07 07:28:31,sangat membantu
PT Mitan,5,2026-05-07 06:15:42,mantap
Marlina Yan,1,2026-05-07 06:00:02,untuk verifikasi saja butuh 14 hari kerja. entah apa kerja org pertamina ini. nyusahin rakyat saja.
Tabul 666,5,2026-05-07 04:20:40,good
Darto Sari,5,2026-05-07 02:27:49,Pertamax plus
Teddy Adrian,5,2026-05-07 02:24:56,bagus
Anselmus Mahartiara,2,2026-05-07 01:56:26,verifikasi data terlalu lama sehingga menyusahkan dan kurang membantu
Supri Yanto,5,2026-05-07 01:54:46,mantap
Ahmad Ipandi,5,2026-05-07 01:19:51,"Pertamina tolong adakan pembayaran via kaspro Maxim,,,,aplikasi gojek yg lainnya udh ada via pembayaran nya diaplikasi Pertamina terimakasih"
Achmad Shaka,5,2026-05-07 00:58:15,sangat memuaskan
agung sukarno,1,2026-05-06 23:47:47,mempersulit kali lah apk ini buat urus barcode
Rahmat Hidayat,5,2026-05-06 22:43:18,mantap
Realme Note 60,1,2026-05-06 22:27:59,"aplikasi tolol, giliran mo payment error mulu"
aditya taru,5,2026-05-06 22:21:26,"k l eh ee0ccc Vvhhgvei bkn ga nd, ny"
Iis Herisna Agustyani,1,2026-05-06 19:43:05,Verifikasi selalu ditolak.
Ady,1,2026-05-06 19:13:00,"kacauu buruk pengalaman saya di apk my pertamina ini, saya beli bahan bakar pake apk ini dengan metode bayar BCA one klik, transaksi di saya berhasil, tapi di mesin SPBU gagal, dan uang saya di rek sudah terpotong,, jadi saya membayar dengan QRIS sebagai ganti nya.. uang saya hilang terpotong begitu saja, SANGAT BURUK APK INI, BUKAN ORANG NYA SAJA YANG KORUPSI, APLIKASI NYA JUGATERNYATA NI MYPERTAMINA, BURUK SISTEM KORUPSI."
Wahyu Rinaldi,5,2026-05-06 16:41:36,Sangat puas
Imam Firdaus,1,2026-05-06 16:30:23,"admin my Pertamina pasti pengguna diesel semua. nyatanya biosolar masih bisa di perbolehkan untuk kendaraan mewah. yakali Innova Fortuner Pajero ,modif heron isi biosolar tidak di blokir"
Aditya Bagus M,1,2026-05-06 15:56:27,"ayo lahhh berbenah, pake vendor suasta yang profesonal"
Muih Muihyanti,5,2026-05-06 15:13:18,mantab karyawan nya banyak dan pompa nya juga banyak
Aldias Akbar,5,2026-05-06 15:12:55,baik data nya ada yang belum
Azmi Pamuncak,5,2026-05-06 14:46:32,bagus
EDIT SEMBARANG,1,2026-05-06 14:41:09,"aplikasi yang kadang kadang kalau mau bayar , koneksinya lelet , tidak bisa di andalkan karna di belakang pada ngantri. bukannya cepat malah lama."
mi islamiyah Soso,5,2026-05-06 12:48:02,oke
Onny Agustine,5,2026-05-06 12:21:02,mudah dalam transaksi
Ardiansyah A2,2,2026-05-06 12:12:53,"saya sudah memenuhi semua persyaratan untuk daftar bbm subsidi kenapa selalu ditolak?,,,terus di persyaratan stnk dan foto mobil yg ada cuma opsi ambil foto gak ada opsi pilih gambar emangnya harus ambil foto mobilnya secara langsung ya?"
agus supriatna,1,2026-05-06 11:21:55,aplikasi lemot
Daryanto Ismartoyo,5,2026-05-06 10:17:13,Praktis & efesien 🙏
ARDI AZA,5,2026-05-06 10:09:25,ok
Ali Imam,5,2026-05-06 09:41:54,top
Fienda Oktavia,1,2026-05-06 09:12:56,WOY MY PERTAMINA ! gausah nyusahin mau ngisi bbm aja ribet pake di tolak segala udah nunggu 14 hari. yang bener dong apilikasi gausah nyusahin orang !!!
Dede Yudha,1,2026-05-06 06:05:46,"Ruwet, dari sini mesti konfirmasi di email, WA dan seterusnya bolak balik, padahal mau registrasi ulang subsidi tepat Pertalite untuk mobil Toyota kijang tahun 1988. sebulan, masih gagal2 terus untuk registrasi ulang"
29 Fadli Dg Ngempo Rewako Gowa,5,2026-05-06 05:40:35,mantap
Sipajok Hutasoit,1,2026-05-06 05:29:32,"daftar barcode solar buat mobil truk, 15 hari gak jadi, nyusahin masyarakat kecil"
Yon Sutejo,1,2026-05-06 03:27:52,sudah memasukkan no hp dan pin yang benar. tp keterangan salah . kita mau ganti pin. OTP gak masuk2 ke wa atau sms.. gimana ini solusinya
iip m q,5,2026-05-06 03:26:06,"Bagus,, bermanfaat, tapi sayang promo nya berkurang,"
ariyadi gio,1,2026-05-06 01:35:51,sudah berkali-kali disuruh Poto ulang dengan alasan Poto hasil editan. eh pas kita chat 135 yg kita tanya nopol kita malah dijawab nopol entah punya siapa. bum in
Aldi Putra,1,2026-05-06 00:44:13,"Digitalisasi tapi verifikasi data mungkin cuma beberapa orang dari jutaan kendaraan. bisa-bisanya pajero, fortuner, innova dapat subsidi solar. harga kendaraan mereka ratusan juta, mobil pribadi pula. semoga ada indikator yang lebih jelas dan tegas, karena udah mulai bagus yang solar langsir di stop."
Rahmat Juliansyah,5,2026-05-05 21:53:21,cepat dan tepat
Fitrirani Belilik,5,2026-05-05 15:37:30,belom ada Qd barqode
Teratai Chanel,3,2026-05-05 15:35:12,Aplikasi nya Susah di pakai
Dwi Mark,5,2026-05-05 14:20:46,Berbahaya!!!
Restu Jaya Putra,3,2026-05-05 12:23:22,"tolong di pengambilan foto STNK dan mobil ada pilihan galerinya, biar kalau pembaruan unit lagi diluar bisa langsung diperbaharui"
Linda Anggra Suwandi,1,2026-05-05 12:06:37,gilaaak yaaa.. daftarkan diri aja susahnya minta ampun. verifikasi di tolak mulu. heran. katanya disuruh pake barcode. giliran isi data malah dipersulit. kalo sistem lo blm bener.. gausah nyuruh masyarakat pk aplikasi ini!!! aplikasi lo aja error mulu. hidup di negara sendiri aja dipersulit mau isi bensin.
Jhonie Permata,1,2026-05-05 10:44:25,pelayanan sangat lambat. segini masyarakat beli. pelayanan nya di lama2in. sampe ngantri melngular nunggu 30 menit. ini berlaku di semua Pertamina seperti nya. tolong dong perbaiki kualitas pelayanan.kami beli bukan gratis
Sujud Hasyanudin,5,2026-05-05 07:22:15,membantu
obii-kun,1,2026-05-05 03:44:09,"pembuatan barcode ribet, udah nunggu verifikasi lama tau2 ditolak, kalau cuma foto kendaraan kenapa ngga dari awal aja nolaknya? tolong di benah i"
Komarudin Komarudin,1,2026-05-05 01:13:44,"saya kecewa sangat2 kecewa ketika saya menggagalkan transaksi atas pembayaran (alasan internet lemot) tapi voucher nya tetap terpakai kejadian tersebut spbu 31 jkt. sampai sekarang tidak ada tindak lanjut. Di Email gak direspon, ditelp menghabiskan pulsa. Tlg dong pihak mypertamina, tindak lanjutnya gimana voucher yg sudah saya beli??? aplikasi kotor jijikk"
Atek Phonix,1,2026-05-04 19:03:41,ribet susah di uruskan orang malah ketipu cocok buat orang pintar
M REZA MAULANA,1,2026-05-04 14:52:07,kenapa suka error terus sih min Waktu ngambil foto KTP nya
Raudhah,2,2026-05-04 05:35:17,sampah.
Kurniawan,1,2026-05-04 05:19:12,sistem nya kurang bagus data kndaraan trdaftar di samsat malah ditolak kndaraan tidak terdaftar database ngaco
Wahyu Firmansyah,1,2026-05-04 04:52:37,ga berfungsi error terus ulangi beberapa saat lagi
Wisnu Kanza,5,2026-05-04 03:25:59,ok
Hafit Setiawan,5,2026-05-04 03:15:24,"sangat membantu, terimakasih"
Gum_ Gumilar,1,2026-05-04 02:22:35,daftarkan barcode udah 10 hari tidak di verifikasi mohon bantuannya sistem di permudah lagi kasian yg urus barcode
ayik dwi cahayanto,1,2026-05-04 02:05:28,saya mau daftar barcode lamanya masyaallah udah 14 hari belum jadi jadi gimana ini??? kirim email tidak di balas. kirim chat WhatsApp tidak ada CS yg balas.. parah lama sekaliii... dan mau buat PIN tidak bisa terussssssssssss .. nb: data ku lengkap dan sangat jelas !! saya kasih bintang 1 karena tidak ada kejelasan dan pelayanan sangat buruk tidak ada yg bisa di hubungi....
Alex sidabutar sidabutar,5,2026-05-04 01:35:10,bagus sekali
Didi Mulyadi,1,2026-05-04 01:27:00,gk guna mau daftar barcode juga slalu ditolak
Slamet pangestu,2,2026-05-03 15:50:28,dari 21 april sampai sekarang 3 mei pukul 22.48 masih menunggu verifikasi 😩
